RepWeekDate,CoVHKU1,CoVNL63,CoVOC43,CoV229E
01/13/18,3.0225481,3.1608798,2.4415548,0.0345829
01/20/18,2.8958228,2.6424383,1.780931,0.0506769
01/27/18,3.0272384,2.4406688,1.8271305,0.0539374
02/03/18,3.2444358,1.9336837,1.9920836,0.1167997
02/10/18,3.1964984,1.8900458,1.6247762,0.0331587
02/17/18,2.7398245,1.4957572,1.4238458,0.050338
02/24/18,2.1977137,1.3604895,1.3121881,0.0402512
03/03/18,1.6632373,0.8659122,1.1574074,0.0428669
03/10/18,1.6999331,0.8499666,1.0696209,0.0668513
03/17/18,1.2550607,0.708502,0.7489879,0.0303644
03/24/18,0.9535292,0.6028058,0.734327,0.0876808
03/31/18,0.9358128,0.419916,0.9478104,0.0239952
04/07/18,0.7696008,0.3487253,0.4930255,0.1082251
04/14/18,0.6142185,0.3397804,0.4835337,0.0784109
04/21/18,0.6464924,0.2888583,0.6327373,0.1100413
04/28/18,0.4712939,0.2285061,0.4712939,0.0856898
05/05/18,0.4272152,0.2373418,0.7911392,0.1107595
05/12/18,0.2637652,0.1318826,0.4945598,0.1318826
05/19/18,0.2661934,0.230701,0.4259095,0.0709849
05/26/18,0.1825484,0.1825484,0.3833516,0.0547645
06/02/18,0.1409869,0.1409869,0.5236657,0.1611279
06/09/18,0.2397602,0.1798202,0.2597403,0.1598402
06/16/18,0.1508946,0.1077818,0.5173529,0.0862255
06/23/18,0.1555901,0.1778173,0.2444988,0.0666815
06/30/18,0.0709555,0.1655629,0.4020814,0.1182592
07/07/18,0.0509295,0.1018589,0.3310415,0.1273237
07/14/18,0.0761035,0.1268392,0.3297818,0.0761035
07/21/18,0.0774793,0.1807851,0.3873967,0.1549587
07/28/18,0.0766284,0.1021711,0.357599,0.2298851
08/04/18,0.085034,0.0283447,0.3117914,0.085034
08/11/18,0.0769231,0.1538462,0.4102564,0.1538462
08/18/18,0,0.1003261,0.3260597,0.1254076
08/25/18,0.0942951,0.4007544,0.3064592,0.0942951
09/01/18,0.0214638,0.3004937,0.2790298,0.1073192
09/08/18,0,0.2037905,0.2853067,0.1222743
09/15/18,0.0891902,0.1783803,0.4102747,0.2140564
09/22/18,0.0170619,0.3583006,0.511858,0.1023716
09/29/18,0,0.4164584,0.5164085,0.149925
10/06/18,0.0152439,0.2896341,0.6554878,0.1676829
10/13/18,0.0432651,0.2884338,0.7066628,0.1009518
10/20/18,0.01353,0.3653092,0.5547287,0.0676498
10/27/18,0.0130293,0.3257329,0.8729642,0.1954397
11/03/18,0.1008573,0.390822,1.2985376,0.1512859
11/10/18,0.0244111,0.4149884,0.9398267,0.1464665
11/17/18,0.0731172,0.5118206,1.1698757,0.2559103
11/24/18,0.0385505,0.5911077,2.1331277,0.308404
12/01/18,0.096795,0.7851151,2.2693052,0.36567
12/08/18,0.0985222,0.711549,2.8024083,0.5254516
12/15/18,0.1425372,1.0283038,4.1233965,0.6719609
12/22/18,0.1459996,1.2263967,5.129453,0.5255986
12/29/18,0.232716,1.3865994,6.1960632,0.7660235
01/05/19,0.1937814,1.5766758,5.5668105,1.0129481
01/12/19,0.2107667,1.5983139,6.0683235,1.0011417
01/19/19,0.2990654,1.9065421,5.8037383,1.1775701
01/26/19,0.3083824,2.1586768,5.7471264,1.4764975
02/02/19,0.3191581,2.1909773,4.7873717,1.5354093
02/09/19,0.3508186,2.5392583,4.6274641,1.6872703
02/16/19,0.3315925,2.6361602,4.0785874,1.6496726
02/23/19,0.2934272,2.5402414,3.4708249,2.0623742
03/02/19,0.3313453,2.7998675,2.9324056,1.8555335
03/09/19,0.4853171,2.7720655,2.8049683,1.8178827
03/16/19,0.2922552,2.4111057,2.2730963,1.8022406
03/23/19,0.4334155,2.1670774,1.7761537,1.9886122
03/30/19,0.4590594,1.508338,1.5739179,1.742552
04/06/19,0.4481034,1.4902043,1.4276782,1.4797832
04/13/19,0.5610703,1.0681916,1.1329305,1.3918861
04/20/19,0.4547044,0.8860907,0.9094089,1.1542497
04/27/19,0.3502839,0.833434,0.8696703,0.785119
05/04/19,0.4486604,0.4999359,0.6794001,0.8460454
05/11/19,0.4713711,0.4159157,0.388188,0.5268266
05/18/19,0.4185268,0.3069196,0.390625,0.5301339
05/25/19,0.6953893,0.3174603,0.4988662,0.5291005
06/01/19,0.8087536,0.1585791,0.539169,0.3330162
06/08/19,0.3079555,0.1197605,0.239521,0.2908469
06/15/19,0.3811944,0.2178254,0.3811944,0.308586
06/22/19,0.2679939,0.0765697,0.2105666,0.2105666
06/29/19,0.2642814,0.1016467,0.2642814,0.2032934
